================== ORDERS REPORT ==================
TF	ID	TQ	TA	TR	TS	Ti	Tc	Tw	Tserv
656	48	16	16	17	541	524	1	525	115
632	42	14	14	15	512	497	1	498	120
632	36	12	12	13	500	487	1	488	132
632	45	15	15	16	519	503	1	504	113
624	39	13	13	14	511	497	1	498	113
599	33	11	11	12	486	474	1	475	113
391	30	10	10	11	276	265	1	266	115
387	24	8	8	9	260	251	1	252	127
387	18	6	6	7	259	252	1	253	128
387	27	9	9	10	274	264	1	265	113
373	21	7	7	8	260	252	1	253	113
364	15	5	5	6	251	245	1	246	113
140	12	4	4	5	25	20	1	21	115
138	6	2	2	3	16	13	1	14	122
138	9	3	3	4	25	21	1	22	113
115	3	1	1	2	2	0	1	1	113
107	2	1	1	2	2	0	1	1	105
102	1	1	1	2	2	0	1	1	100

=====================================================
           RESTAURANT SIMULATION REPORT 
=====================================================

------------------ ORDER SUMMARY ------------------
Total Orders     : 150
   -> Dine-in (OD): 0
   -> Takeaway   : 0
   -> Delivery   : 150
   -> Combo      : 0

------------------ RESOURCE SUMMARY ------------------
Total Chefs      : 150
    -> Normal (CN): 100
    -> Special(CS): 50
Total Scooters   : 6
    -> Normal (S): 3
    -> Special(SR): 3

------------------ PERFORMANCE STATS ------------------
 Finished Orders : 100%
 Cancelled Orders: 0%
 Overwait Orders : 96%

------------------ TIME ANALYSIS ------------------
Avg Idle Time (Ti)    : 3171.97
Avg Cooking Time (Tc)  : 1
Avg Wait Time (Tw)     : 3172.97
Avg Service Time       : 116.447

------------------ UTILIZATION ------------------
 Scooters Utilization: 87.3831%
 Chefs Utilization   : 0.0150083%

=====================================================
               END OF SIMULATION REPORT
=====================================================
