================== ORDERS REPORT ==================
TF	ID	TQ	TA	TR	TS	Ti	Tc	Tw	Tserv
593	193	188	188	192	592	400	4	404	1
572	183	172	175	182	571	392	7	399	1
570	179	170	170	182	569	387	12	399	1
568	188	179	179	181	567	386	2	388	1
565	178	170	170	174	564	390	4	394	1
563	175	170	170	174	562	388	4	392	1
561	174	168	168	172	560	388	4	392	1
560	177	170	170	171	559	388	1	389	1
535	169	165	165	169	534	365	4	369	1
533	172	167	167	169	532	363	2	365	1
531	171	166	166	167	530	363	1	364	1
529	167	162	162	163	528	365	1	366	1
528	159	157	157	161	527	366	4	370	1
527	161	158	158	161	526	365	3	368	1
526	164	160	160	161	525	364	1	365	1
524	154	151	151	154	523	369	3	372	1
522	143	140	140	149	521	372	9	381	1
496	130	131	131	149	495	346	18	364	1
494	147	144	144	149	493	344	5	349	1
494	152	148	148	149	493	344	1	345	1
492	144	141	141	143	491	348	2	350	1
492	131	131	131	132	491	359	1	360	1
490	126	125	125	130	489	359	5	364	1
490	128	127	127	130	489	359	3	362	1
489	125	125	125	128	488	360	3	363	1
488	123	121	121	126	487	361	5	366	1
487	124	123	123	126	486	360	3	363	1
486	127	125	125	126	485	359	1	360	1
485	121	118	118	121	484	363	3	366	1
484	122	120	120	121	483	362	1	363	1
483	116	111	111	114	482	368	3	371	1
482	113	107	107	108	481	373	1	374	1
457	103	98	98	103	456	353	5	358	1
455	92	91	91	98	454	356	7	363	1
453	98	95	95	98	452	354	3	357	1
450	100	97	97	98	449	351	1	352	1
449	93	91	91	93	448	355	2	357	1
421	90	90	90	92	420	328	2	330	1
419	89	90	90	91	418	327	1	328	1
417	80	80	80	83	416	333	3	336	1
416	83	82	82	83	415	332	1	333	1
416	70	69	70	77	415	339	7	346	1
415	68	66	70	77	414	341	7	348	1
413	74	73	73	75	412	337	2	339	1
383	73	73	73	74	382	308	1	309	1
383	72	71	71	72	382	310	1	311	1
381	59	62	62	69	380	311	7	318	1
381	62	63	63	64	380	316	1	317	1
380	61	63	63	64	379	315	1	316	1
379	54	58	58	61	378	317	3	320	1
379	56	58	58	60	378	318	2	320	1
378	44	47	47	56	377	321	9	330	1
377	50	52	52	56	376	320	4	324	1
376	52	55	55	56	375	319	1	320	1
374	33	38	38	48	373	325	10	335	1
347	37	41	41	44	346	302	3	305	1
344	39	42	42	44	343	299	2	301	1
344	28	34	34	37	343	306	3	309	1
342	27	34	34	37	341	304	3	307	1
341	24	30	30	32	340	308	2	310	1
341	18	24	24	26	340	314	2	316	1
339	15	22	22	25	338	313	3	316	1
339	14	22	22	25	338	313	3	316	1
337	13	21	21	23	336	313	2	315	1
310	198	194	194	198	309	111	4	115	1
308	168	163	165	169	307	140	4	144	1
306	163	159	165	167	305	144	2	146	1
306	156	151	151	155	305	150	4	154	1
304	150	146	150	152	303	155	2	157	1
304	151	146	146	149	303	154	3	157	1
304	134	134	134	138	303	165	4	169	1
271	139	135	136	138	270	133	2	135	1
271	140	137	137	138	270	132	1	133	1
271	120	118	131	132	270	151	1	152	1
269	108	100	100	103	268	165	3	168	1
269	102	98	99	101	268	168	2	170	1
267	97	93	93	98	266	168	5	173	1
267	101	97	97	98	266	168	1	169	1
251	176	170	170	174	174	0	4	4	40
251	117	113	115	130	130	2	15	17	39
251	105	99	99	103	103	0	4	4	39
251	149	145	145	149	149	0	4	4	38
251	180	170	170	182	200	18	12	30	37
251	195	190	190	198	226	28	8	36	25
240	194	189	189	193	226	33	4	37	14
239	197	192	192	198	238	40	6	46	1
237	200	196	196	198	226	28	2	30	11
237	181	170	170	172	236	64	2	66	1
235	170	166	166	169	234	65	3	68	1
226	162	159	165	167	167	6	2	8	36
226	155	151	151	155	155	0	4	4	36
226	67	66	66	69	91	22	3	25	36
226	66	66	66	67	91	24	1	25	36
226	186	175	175	177	177	0	2	2	35
226	189	180	180	182	182	0	2	2	32
226	191	184	184	185	200	15	1	16	26
221	192	186	186	187	200	13	1	14	21
