================== ORDERS REPORT ==================
TF	ID	TQ	TA	TR	TS	Ti	Tc	Tw	Tserv
213	190	182	182	187	200	13	5	18	13
203	160	158	158	164	202	38	6	44	1
201	158	155	155	164	200	36	9	45	1
201	146	144	144	149	200	51	5	56	1
200	53	57	57	59	91	32	2	34	32
200	133	133	133	138	138	0	5	5	31
200	109	101	102	103	103	1	1	2	31
200	64	64	64	65	91	26	1	27	30
200	157	153	153	154	154	0	1	1	29
200	145	142	142	145	145	0	3	3	29
200	112	105	105	110	110	0	5	5	28
200	173	168	168	169	169	0	1	1	27
200	135	134	134	149	149	0	15	15	26
200	185	173	173	174	174	0	1	1	23
200	187	177	177	182	182	0	5	5	18
198	199	195	195	197	197	1	2	3	1
193	196	190	190	192	192	1	2	3	1
190	165	161	161	164	164	0	3	3	18
190	184	173	173	174	174	0	1	1	16
178	182	171	172	177	177	2	5	7	1
169	148	145	145	149	168	19	4	23	1
167	141	138	138	143	166	23	5	28	1
165	166	161	162	164	164	2	2	4	1
165	142	140	140	142	164	22	2	24	1
165	129	129	131	135	164	31	4	35	1
153	136	134	134	135	135	0	1	1	18
152	153	150	150	151	151	1	1	2	1
149	132	131	131	132	132	0	1	1	17
146	138	134	134	135	135	0	1	1	11
143	118	115	131	133	133	16	2	18	10
136	137	134	134	135	135	1	1	2	1
133	99	97	97	98	132	34	1	35	1
133	96	93	93	95	132	37	2	39	1
133	94	93	93	95	132	37	2	39	1
131	119	116	116	130	130	1	14	15	1
131	77	76	76	85	130	45	9	54	1
131	84	84	84	85	130	45	1	46	1
131	115	109	109	130	130	0	21	21	1
129	79	79	79	80	128	48	1	49	1
129	111	104	104	108	128	20	4	24	1
127	60	63	63	69	91	22	6	28	25
127	75	73	73	74	91	17	1	18	21
127	95	93	93	95	95	0	2	2	20
127	71	70	70	77	91	14	7	21	20
127	110	103	104	108	108	1	4	5	14
127	114	107	111	114	114	4	3	7	13
127	88	89	89	103	126	23	14	37	1
104	104	98	98	103	103	1	5	6	1
104	107	99	99	103	103	1	4	5	1
103	65	65	65	69	91	22	4	26	12
102	58	60	60	69	91	22	9	31	11
101	106	99	99	100	100	1	1	2	1
101	86	85	86	87	91	5	1	6	10
96	78	78	78	79	95	16	1	17	1
94	55	58	58	69	93	24	11	35	1
94	38	42	42	44	93	49	2	51	1
94	85	85	86	89	93	5	3	8	1
93	91	91	91	92	92	1	1	2	1
92	63	63	63	85	91	6	22	28	1
91	10	16	16	19	19	0	3	3	37
91	41	45	45	48	48	0	3	3	35
91	36	41	41	43	43	0	2	2	35
91	21	27	27	32	32	0	5	5	35
91	22	27	27	32	32	0	5	5	33
91	8	14	14	16	16	0	2	2	30
91	40	44	44	48	48	0	4	4	25
91	31	36	41	44	44	5	3	8	24
91	51	53	53	56	63	7	3	10	22
91	49	50	50	56	74	18	6	24	17
90	87	87	87	89	89	1	2	3	1
88	42	45	45	56	74	18	11	29	14
88	81	80	80	81	87	6	1	7	1
86	82	81	81	85	85	1	4	5	1
78	76	75	75	77	77	1	2	3	1
74	47	49	49	52	52	0	3	3	22
70	69	67	68	69	69	2	1	3	1
66	35	41	41	48	48	0	7	7	18
63	43	47	47	48	48	0	1	1	15
60	57	58	58	59	59	1	1	2	1
60	34	40	41	42	59	18	1	19	1
58	29	35	41	42	57	21	1	22	1
56	26	32	32	37	55	18	5	23	1
56	25	32	32	37	55	18	5	23	1
56	16	23	23	25	55	30	2	32	1
54	45	49	49	52	53	1	3	4	1
53	48	49	49	52	52	1	3	4	1
52	32	36	38	40	51	13	2	15	1
51	46	49	49	50	50	1	1	2	1
49	19	26	26	37	48	11	11	22	1
47	30	35	35	36	46	10	1	11	1
46	23	29	29	30	30	0	1	1	16
42	12	19	19	26	26	0	7	7	16
39	17	24	24	25	25	0	1	1	14
33	20	27	27	32	32	1	5	6	1
21	4	9	9	19	20	1	10	11	1
20	11	17	17	19	19	0	2	2	1
19	9	16	16	18	18	0	2	2	1
14	5	10	10	13	13	0	3	3	1
14	6	11	11	13	13	0	2	2	1
14	7	12	12	13	13	0	1	1	1
11	3	7	7	10	10	0	3	3	1
8	2	5	5	7	7	1	2	3	1
5	1	3	3	4	4	0	1	1	1

=====================================================
           RESTAURANT SIMULATION REPORT 
=====================================================

------------------ ORDER SUMMARY ------------------
Total Orders     : 200
   -> Dine-in (OD): 60
   -> Takeaway   : 20
   -> Delivery   : 100
   -> Combo      : 20

------------------ RESOURCE SUMMARY ------------------
Total Chefs      : 12
    -> Normal (CN): 8
    -> Special (CS): 4
Total Scooters   : 5
    -> Normal (S): 3
    -> Rescue (SR): 2

------------------ PERFORMANCE STATS ------------------
 Finished Orders : 100%
 Cancelled Orders: 0%
 Overwait Orders : 93.3333%

------------------ TIME ANALYSIS ------------------
Avg Idle Time (Ti)    : 128.09
Avg Cooking Time (Tc)  : 3.725
Avg Wait Time (Tw)     : 131.815
Avg Service Time       : 8.01

------------------ UTILIZATION ------------------
 Scooters Utilization: 7.81457%
 Chefs Utilization   : 14.7903%

=====================================================
               END OF SIMULATION REPORT
=====================================================
