================== ORDERS REPORT ==================
TF	ID	TQ	TA	TR	TS	Ti	Tc	Tw	Tserv
199	834	34	178	198	198	144	20	164	1
191	833	33	170	190	190	137	20	157	1
190	832	32	169	189	189	137	20	157	1
186	831	31	165	185	185	134	20	154	1
178	830	30	157	177	177	127	20	147	1
170	829	29	149	169	169	120	20	140	1
169	828	28	148	168	168	120	20	140	1
165	827	27	144	164	164	117	20	137	1
157	826	26	136	156	156	110	20	130	1
150	825	25	128	148	149	104	20	124	1
148	824	24	127	147	147	103	20	123	1
144	823	23	123	143	143	100	20	120	1
136	822	22	115	135	135	93	20	113	1
128	821	21	107	127	127	86	20	106	1
127	820	20	106	126	126	86	20	106	1
123	819	19	102	122	122	83	20	103	1
115	818	18	94	114	114	76	20	96	1
107	817	17	86	106	106	69	20	89	1
106	816	16	85	105	105	69	20	89	1
102	815	15	81	101	101	66	20	86	1
94	814	14	73	93	93	59	20	79	1
86	813	13	65	85	85	52	20	72	1
85	812	12	64	84	84	52	20	72	1
81	811	11	60	80	80	49	20	69	1
73	810	10	52	72	72	42	20	62	1
66	809	9	44	64	65	36	20	56	1
64	808	8	43	63	63	35	20	55	1
60	906	7	39	59	59	32	20	52	1
52	807	7	31	51	51	24	20	44	1
47	606	6	10	17	17	4	7	11	30
47	604	4	10	17	17	6	7	13	30
45	806	6	23	43	44	18	20	38	1
43	805	5	22	42	42	17	20	37	1
39	602	2	2	9	9	0	7	7	30
39	804	4	18	38	38	14	20	34	1
31	402	2	2	17	17	0	15	15	14
31	803	3	10	30	30	7	20	27	1
24	802	2	2	22	23	1	20	21	1
23	501	1	1	9	9	0	8	8	14
22	801	1	1	21	21	0	20	20	1
15	201	1	1	5	5	0	4	4	10
12	301	1	1	5	5	0	4	4	7
6	701	1	1	5	5	1	4	5	1

=====================================================
           RESTAURANT SIMULATION REPORT 
=====================================================

------------------ ORDER SUMMARY ------------------
Total Orders     : 250
   -> Dine-in (OD): 62
   -> Takeaway   : 32
   -> Delivery   : 95
   -> Combo      : 61

------------------ RESOURCE SUMMARY ------------------
Total Chefs      : 12
    -> Normal (CN): 8
    -> Special (CS): 4
Total Scooters   : 10
    -> Normal (S): 5
    -> Rescue (SR): 5

