================== ORDERS REPORT ==================
TF	ID	TQ	TA	TR	TS	Ti	Tc	Tw	Tserv
    -> Normal (CN): 8
    -> Special(CS): 4
Total Scooters   : 15

------------------ PERFORMANCE STATS ------------------
 Finished Orders : 100%
 Cancelled Orders: 0%
 Overwait Orders : 0%

------------------ TIME ANALYSIS ------------------
Avg Idle Time (Ti)    : 124.1
Avg Cooking Time (Tc)  : 4.28667
Avg Wait Time (Tw)     : 128.387
Avg Service Time       : 21.6333

------------------ UTILIZATION ------------------
 Scooters Utilization: 0%
 Chefs Utilization   : 11.725%

=====================================================
               END OF SIMULATION REPORT
=====================================================
